Days,Price,Price/Day,For 365 Days,Profit per customer,From 400 Million users,Data_per_day
28,209,7.464285714,2724.464286,5.214285714,2085.714286,1
24,179,7.458333333,2722.291667,3.041666667,1216.666667,1
20,149,7.45,2719.25,0,0,1
336,2545,7.574404762,2764.657738,0,0,1.5
84,666,7.928571429,2893.928571,129.2708333,51708.33333,1.5
56,479,8.553571429,3122.053571,357.3958333,142958.3333,1.5
30,259,8.633333333,3151.166667,386.5089286,154603.5714,1.5
28,239,8.535714286,3115.535714,350.8779762,140351.1905,1.5
23,199,8.652173913,3158.043478,393.3857402,157354.2961,1.5
14,119,8.5,3102.5,337.8422619,135136.9048,1.5
365,2879,7.887671233,2879,0,0,2
56,533,9.517857143,3474.017857,595.0178571,238007.1429,2
28,299,10.67857143,3897.678571,1018.678571,407471.4286,2
23,249,10.82608696,3951.521739,1072.521739,429008.6957,2
84,1199,14.27380952,5209.940476,0,0,3
28,419,14.96428571,5461.964286,252.0238095,100809.5238,3